<tags>
ArcGISFormat
CreaDate
CreaTime
DataProperties
Esri
GeoBndBox
ModDate
ModTime
Process
SyncDate
SyncOnce
SyncTime
VectSpatRep
absres
abstract
accconst
address
addrtype
albers
altmax
altmin
altunits
atprecis
attalias
attr
attracc
attracce
attraccr
attraccv
attrdef
attrdefs
attrdomv
attrlabl
attrmfrq
attrmres
attrtype
attrunit
attscale
attwidth
begdate
begdatea
boundalt
bounding
caldate
citation
citeinfo
city
cntaddr
cntemail
cntfax
cntinfo
cntorg
cntorgp
cntper
cntperp
cntpos
cntvoice
codesetd
codesetn
codesets
colcount
complete
computer
coordRef
coordrep
country
crossref
csUnits
current
custom
dataExt
dataIdInfo
datacred
dataqual
denflat
descgeog
descript
detailed
digform
digtinfo
digtopt
direct
distFormat
distInfo
distTranOps
distinfo
distliab
distrib
eadetcit
eainfo
eaover
eastBL
eastbc
edom
edomv
edomvd
edomvds
efeacnt
efeatyp
ellips
enddate
enddatea
enttyp
enttypc
enttypd
enttypds
enttypl
enttypt
envirDesc
esriterm
esritopo
exTypeCode
feast
fees
fnorth
formatName
formname
formvern
geoEle
geoObjCnt
geodetic
geoform
geogcsn
geograph
geogunit
geometObjs
gridsys
gridsysn
horizdn
horizpa
horizpar
horizsys
idCitation
idinfo
imsContentType
indspref
issue
itemLocation
itemName
itemProps
itemSize
keywords
lambertc
latprjo
latres
lineage
linkage
linrefer
logic
longcm
longres
lworkcit
mapproj
mapprojn
mdDateSt
mdHrLvName
metadata
metainfo
metc
metd
methdesc
method
methtype
metstdn
metstdv
mettc
metuc
native
nativeExtBox
networka
networkr
northBL
northbc
onlink
onlinopt
ordres
origin
othercit
overview
peXml
place
placekey
placekt
planar
plance
planci
plandu
posacc
postal
proccont
procdate
procdesc
procstep
progress
projcsn
protocol
ptcontac
ptvctcnt
ptvctinf
pubdate
pubinfo
publish
pubplace
purpose
qattracc
rastinfo
rasttype
rdom
rdommax
rdommin
resTitle
rngdates
rowcount
sdtsterm
sdtstype
semiaxis
serinfo
sername
sfctrmer
sngdate
southBL
southbc
spatRepInfo
spdoinfo
spdom
spindex
spref
srccite
srccitea
srccontr
srccurr
srcinfo
srcscale
srctime
state
status
stdorder
stdparll
supplinf
tempkey
tempkt
temporal
theme
themekey
themekt
timeinfo
timeperd
title
tool
toolacc
toolcont
tooldesc
toolinst
transSize
transmer
type
typesrc
udom
update
useconst
utm
utmzone
vertacc
vertaccr
vrtcount
westBL
westbc
