<tags>
ArcGISFormat
ArcGISProfile
Band
CompressionType
CreaDate
CreaTime
DataProperties
Esri
Format
General
GeoBndBox
Georect
HasColormap
HasPyramids
ImgDesc
ModDate
ModTime
NoDataValue
NumBands
PixelDepth
PixelType
RasterProperties
SourceType
SyncDate
SyncOnce
SyncTime
absres
abstract
accconst
address
addrtype
albers
attr
attracc
attraccr
attrdef
attrdefs
attrdomv
attrlabl
attrunit
axisDimension
begdate
bitsPerVal
bounding
caldate
centerPt
chkPtAv
citation
citeinfo
city
classcit
classsys
cntaddr
cntemail
cntfax
cntinfo
cntorg
cntorgp
cntper
cntperp
cntpos
cntvoice
colcount
common
complete
computer
contInfo
coordRef
coordrep
cornerPts
country
covDim
crossref
csUnits
current
dataExt
dataIdInfo
datacred
dataqual
denflat
descgeog
descript
detailed
digform
digtinfo
digtopt
dimDescrp
dimResol
dimSize
direct
distFormat
distInfo
distinfo
distliab
distrib
eadetcit
eainfo
eaover
eastBL
eastbc
edom
edomv
edomvd
edomvds
ellips
enddate
enttyp
enttypd
enttypds
enttypl
envirDesc
exTypeCode
feast
fees
fnorth
formatName
formname
formspec
formvern
geoEle
geodetic
geoform
geogcsn
horizdn
horizpa
horizpar
horizsys
idAbs
idCitation
idCredit
idPurp
idinfo
imsContentType
issue
itemLocation
itemName
itemProps
keyword
keywords
keywtax
latprjo
lineage
linkage
logic
longcm
lworkcit
mapproj
mapprojn
maxScale
maxVal
mdDateSt
mdHrLvName
metadata
metainfo
metc
metd
methcite
methdesc
method
methtype
metstdn
metstdv
mettc
minScale
minVal
native
nativeExtBox
networka
networkr
northBL
northbc
numDims
onlink
onlinopt
ordres
origin
othercit
overview
peXml
place
placekey
placekt
planar
plance
planci
plandu
pos
posacc
postal
procdate
procdesc
procstep
progress
projcsn
protocol
ptcontac
pubdate
pubinfo
publish
pubplace
purpose
rastinfo
rasttype
rdom
rdommax
rdommin
resTitle
rngdates
rowcount
scaleRange
searchKeys
semiaxis
serinfo
sername
sfctrmer
sngdate
southBL
southbc
spatRepInfo
spdoinfo
spdom
spref
srccite
srccitea
srccontr
srccurr
srcinfo
srctime
srcused
state
status
stdorder
stdparll
taxoncl
taxonkey
taxonkt
taxonomy
taxonpro
taxonrn
taxonrv
taxonsys
theme
themekey
themekt
timeinfo
timeperd
title
tool
toolacc
toolcite
tooldesc
toolinst
tranParaAv
transize
transmer
type
typesrc
udom
update
useconst
value
vertacc
vertaccr
vrtcount
westBL
westbc
