<tags>
absres
abstract
accconst
address
addrtype
albers
altdatum
altenc
altmax
altmin
altres
altsys
altunits
attr
attracc
attraccr
attrdef
attrdefs
attrdomv
attrlabl
attrunit
availabl
begdate
boundalt
bounding
caldate
citation
citeinfo
city
cntaddr
cntemail
cntfax
cntinfo
cntorg
cntorgp
cntper
cntperp
cntpos
cntvoice
colcount
complete
computer
coordrep
country
current
datacred
dataqual
denflat
descgeog
descript
detailed
digform
digtinfo
digtopt
direct
distinfo
distliab
distrib
eadetcit
eainfo
eaover
eastbc
edition
edom
edomv
edomvd
edomvds
ellips
enddate
enttyp
enttypd
enttypds
enttypl
feast
fees
fnorth
formname
geodetic
geoform
geograph
geogunit
gridsys
gridsysn
horizdn
horizpa
horizpar
horizsys
hours
idinfo
indspref
issue
keywords
latprjo
latres
lineage
logic
longcm
longres
lworkcit
mapproj
metadata
metainfo
metc
metd
methcite
methdesc
methkey
methkt
method
methodid
methtype
metstdn
metstdv
mettc
metuc
native
networka
networkr
northbc
onlink
onlinopt
ordres
origin
overview
place
placekey
placekt
planar
plance
planci
plandu
posacc
postal
proccont
procdate
procdesc
procstep
progress
ptcontac
ptvctcnt
ptvctinf
pubdate
pubinfo
publish
pubplace
purpose
rastinfo
rasttype
rdom
rdommax
rdommin
resdesc
rngdates
rowcount
sdtsterm
sdtstype
semiaxis
serinfo
sername
sfctrmer
sngdate
sngdates
southbc
spdoinfo
spdom
spref
srccite
srccitea
srccontr
srccurr
srcinfo
srcscale
srctime
state
status
stdorder
stdparll
supplinf
techpreq
tempkey
tempkt
temporal
theme
themekey
themekt
timeinfo
timeperd
title
tool
toolacc
tooldesc
toolinst
transmer
typesrc
udom
update
useconst
utm
utmzone
vertacc
vertaccr
vertdef
vrtcount
westbc
