<tags>
ArcGISFormat
ArcGISProfile
ArcGISstyle
CreaDate
CreaTime
DataProperties
Esri
GeoBndBox
ModDate
ModTime
SyncDate
SyncOnce
SyncTime
TM_Period
TempExtent
VectSpatRep
absres
abstract
accconst
address
addrtype
adminArea
albers
altdatum
altsys
altunits
atprecis
attalias
attr
attracc
attraccr
attrdef
attrdefs
attrdomv
attrlabl
attrtype
attrunit
attscale
attwidth
begdate
bounding
caldate
citRespParty
citation
citeinfo
city
cntAddress
cntPhone
cntaddr
cntemail
cntfax
cntinfo
cntorg
cntorgp
cntper
cntperp
cntpos
cntvoice
complete
computer
coordRef
coordrep
country
csUnits
current
dataExt
dataIdInfo
dataLineage
dataSource
datacred
dataqual
date
denflat
descgeog
descript
detailed
digform
digtinfo
digtopt
direct
displayName
distFormat
distInfo
distTranOps
distinfo
distliab
distrib
dqInfo
eMailAdd
eadetcit
eainfo
eaover
eastBL
eastbc
edom
edomv
edomvd
edomvds
efeacnt
efeatyp
ellips
enddate
enttyp
enttypc
enttypd
enttypds
enttypl
enttypt
envirDesc
esriterm
esritopo
exDesc
exTemp
exTypeCode
feast
fees
fnorth
formatName
formname
formvern
geoEle
geoObjCnt
geodetic
geoform
geogcsn
geograph
geogunit
geometObjs
horizdn
horizpa
horizpar
horizsys
idAbs
idCitation
idPurp
ider
idinfo
imsContentType
indspref
issue
itemLocation
itemName
itemProps
itemSize
keyword
keywords
keywtax
latprjo
latres
lineage
linkage
linrefer
logic
longcm
longres
lworkcit
mapproj
mapprojn
maxScale
mdContact
mdDateSt
mdHrLvName
mercury
mercury_status
metadata
metainfo
metc
metd
methcite
methdesc
method
methtype
metstdn
metstdv
mettc
metuc
minScale
native
nativeExtBox
networka
networkr
northBL
northbc
onlink
onlinopt
ordres
origin
overview
peXml
place
placekey
placekt
planar
plance
planci
plandu
posacc
postCode
postal
proccont
procdate
procdesc
procstep
progress
projcsn
protocol
ptcontac
ptvctcnt
ptvctinf
pubDate
pubdate
pubinfo
publish
pubplace
purpose
rdom
rdommax
rdommin
reposit
resTitle
rngdates
rpCntInfo
rpIndName
rpOrgName
scaleRange
sdtsterm
sdtstype
searchKeys
semiaxis
serinfo
sername
sngdate
southBL
southbc
spatRepInfo
spdoinfo
spdom
spindex
spref
srcDesc
srccite
srccitea
srccontr
srccurr
srcinfo
srctime
state
status
stdorder
stdparll
supplinf
taxoncom
taxonkey
taxonomy
taxonpro
taxonsys
tempEle
theme
themekey
themekt
timeinfo
timeperd
title
tmBegin
tmEnd
tool
toolcont
tooldesc
transSize
type
typesrc
udom
update
useconst
vertacc
vertaccr
vertdef
voiceNum
vouchers
westBL
westbc
