<tags>
absres
abstract
accconst
accinstr
address
addrtype
albers
attr
attracc
attraccr
attrdef
attrdefs
attrdomv
attrlabl
attrunit
begdate
bounding
browse
browsed
browsen
browset
caldate
citation
citeinfo
city
classcit
classsys
cntaddr
cntemail
cntfax
cntinfo
cntorg
cntorgp
cntper
cntperp
cntpos
cntvoice
colcount
common
complete
computer
coordrep
country
current
datacred
dataqual
denflat
descgeog
descript
detailed
digform
digtinfo
digtopt
direct
distinfo
distliab
distrib
eadetcit
eainfo
eaover
eastbc
edition
edom
edomv
edomvd
edomvds
ellips
enddate
enttyp
enttypd
enttypds
enttypl
feast
fees
filedec
fnorth
formcont
formname
formspec
formvern
geodetic
geoform
geograph
geogunit
gridsys
gridsysn
horizdn
horizpa
horizpar
horizsys
idinfo
indspref
issue
keywords
keywtax
latprjo
latres
lineage
logic
longcm
longres
lworkcit
mapproj
mapprojn
mapprojp
mdattim
mercator
metac
metadata
metainfo
metc
metd
methdesc
method
methtype
metstdn
metstdv
mettc
metuc
native
networka
networkr
northbc
onlink
onlinopt
ordres
origin
othercit
overview
place
placekey
placekt
planar
plance
planci
plandu
posacc
postal
proccont
procdate
procdesc
procstep
progress
ptcontac
ptvctcnt
ptvctinf
pubdate
pubinfo
publish
pubplace
purpose
rastinfo
rasttype
rdom
rdommax
rdommin
resdesc
rngdates
rowcount
sdtsterm
sdtstype
semiaxis
serinfo
sername
sfctrmer
sngdate
southbc
spdoinfo
spdom
spref
srccite
srccitea
srccontr
srccurr
srcinfo
srcprod
srctime
srcused
state
status
stdorder
stdparll
supplinf
taxoncl
taxonkey
taxonkt
taxonomy
taxonpro
taxonrn
taxonrv
taxonsys
techpreq
theme
themekey
themekt
timeinfo
timeperd
title
transize
transmer
typesrc
udom
update
useconst
utm
utmzone
vertacc
vertaccr
vrtcount
westbc
