<tags>
ArcGISFormat
ArcGISstyle
Band
CompressionType
CreaDate
CreaTime
DataProperties
Esri
Format
General
GeoBndBox
Georect
HasColormap
HasPyramids
ImgDesc
ModDate
ModTime
NoDataValue
NumBands
PixelDepth
PixelType
Process
RasterProperties
RefSystem
SourceType
SyncDate
SyncOnce
SyncTime
UOM
VectSpatRep
absres
abstract
accconst
accinstr
address
addrtype
albers
atprecis
attalias
attr
attracc
attraccr
attrdef
attrdefs
attrdomv
attrlabl
attrmres
attrtype
attrunit
attscale
attwidth
axisDimension
begdate
bitsPerVal
bounding
caldate
centerPt
chkPtAv
citation
citeinfo
city
classcit
classsys
cntaddr
cntemail
cntfax
cntinfo
cntorg
cntorgp
cntper
cntperp
cntpos
cntvoice
codesetd
codesetn
codesets
colcount
common
complete
computer
contInfo
coordRef
coordrep
cornerPts
country
covDim
crossref
csUnits
current
custom
dataExt
dataIdInfo
datacred
dataqual
denflat
descKeys
descgeog
descript
detailed
digform
digtinfo
digtopt
dimDescrp
dimResol
dimSize
direct
distFormat
distInfo
distTranOps
distinfo
distliab
distrib
eadetcit
eainfo
eaover
eastBL
eastbc
edition
edom
edomv
edomvd
edomvds
efeacnt
efeatyp
ellips
enddate
enttyp
enttypc
enttypd
enttypds
enttypl
enttypt
envirDesc
esriterm
esritopo
exTypeCode
feast
fees
fnorth
formatName
formname
formspec
formvern
geoEle
geoObjCnt
geodetic
geoform
geogcsn
geograph
geogunit
geometObjs
gridsys
gridsysn
horizdn
horizpa
horizpar
horizsys
hours
idCitation
idCodeSpace
idVersion
idinfo
imsContentType
indspref
issue
itemLocation
itemName
itemProps
itemSize
keyword
keywords
keywtax
latprjo
latres
lineage
linkage
linrefer
logic
longcm
longres
lworkcit
mapproj
mapprojn
mdDateSt
mdHrLvName
metadata
metainfo
metc
metd
methcite
methdesc
method
methtype
metrd
metstdn
metstdv
mettc
metuc
native
nativeExtBox
networka
networkr
northBL
northbc
numDims
onlink
onlinopt
ordres
origin
othercit
overview
peXml
place
placekey
placekt
planar
plance
planci
plandu
pos
posacc
postal
proccont
procdate
procdesc
procstep
proctime
progress
projcsn
protocol
ptcontac
ptvctcnt
ptvctinf
pubdate
pubinfo
publish
pubplace
purpose
rastinfo
rasttype
rdom
rdommax
rdommin
refSysID
refSysInfo
resTitle
resdesc
rngdates
rowcount
sdtsterm
sdtstype
semiaxis
serinfo
sername
sfctrmer
sngdate
southBL
southbc
spatRepInfo
spdoinfo
spdom
spindex
spref
srccite
srccitea
srccontr
srccurr
srcinfo
srctime
srcused
state
status
stdorder
stdparll
stratkey
stratkt
stratum
supplinf
taxoncl
taxonkey
taxonkt
taxonomy
taxonpro
taxonrn
taxonrv
taxonsys
techpreq
theme
themekey
themekt
timeinfo
timeperd
title
tool
toolacc
toolcite
toolcont
tooldesc
toolinst
tranParaAv
transSize
transize
transmer
type
typesrc
udom
unitSymbol
update
useconst
utm
utmzone
valUnit
value
vertacc
vertaccr
vrtcount
westBL
westbc
